2026-04-14 00:14:38 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
2026-04-14 00:14:38 | INFO     | utils.helpers:wrapper:41 | EvidenceRetriever.batch_retrieve completed in 0.168s
2026-04-14 00:14:38 | INFO     | core.pipeline:verify_text:87 | Stage 2 complete: evidence retrieved
2026-04-14 00:14:38 | INFO     | utils.helpers:wrapper:41 | VerdictEngine.judge completed in 0.288s
2026-04-14 00:14:38 | INFO     | core.pipeline:verify_text:97 | Stage 3 complete: verdicts assigned
2026-04-14 00:14:38 | INFO     | core.pipeline:verify_text:105 | Stage 4–5 complete: output annotated
2026-04-14 00:14:38 | INFO     | utils.helpers:wrapper:41 | VeriFactPipeline.verify_text completed in 3.268s
2026-04-14 00:14:43 | INFO     | core.claim_decomposer:decompose:109 | LLM decomposed text into 1 claims
2026-04-14 00:14:43 | INFO     | utils.helpers:wrapper:41 | ClaimDecomposer.decompose completed in 4.590s
2026-04-14 00:14:43 | INFO     | core.pipeline:verify_text:80 | Stage 1 complete: 1 claims extracted
